NO,NAME,CODE,LAST DONE,VOL ('00)
547,T7GLOBAL ,7228,0.335,"8,093"
548,TAANN ,5012,3.02,"10,537"
549,TAFI ,7211,2.77,"165,578"
550,TAKAFUL ,6139,4.37,"1,515"
551,TALAMT ,2259,0.025,"2,800"
552,TALIWRK ,8524,0.83,"5,744"
553,TAMBUN ,5191,0.73,"3,019"
554,TANCO ,2429,0.235,"478,285"
555,TASHIN ,211,0.605,"32,162"
556,TAWIN ,7097,0.145,"719,432"
557,TCS ,221,0.465,"1,195"
558,TDEX ,132,0.16,830
559,TDM ,2054,0.255,"52,091"
560,TECHNAX ,2739,0.09,"108,240"
561,TEKSENG ,7200,0.47,"6,601"
562,TELADAN ,230,0.655,"9,966"
563,TENAGA ,5347,10.26,"24,013"
564,TEOSENG ,7252,0.735,"1,055"
565,TEXCYCL ,89,0.43,"6,203"
566,TFP ,145,0.23,"207,587"
567,TGUAN ,7034,2.83,"4,955"
568,THETA ,9075,0.785,"1,065"
569,THHEAVY ,7206,0.09,"15,529"
570,THPLANT ,5112,0.57,"19,141"
571,THRIVEN ,7889,0.155,"2,250"
572,TIGER ,7079,0.045,"144,357"
573,TIMECOM ,5031,4.59,"20,274"
574,TIMWELL ,7854,0.65,"1,819"
575,TITIJYA ,5239,0.355,"2,922"
576,TJSETIA ,5297,0.55,"1,073"
577,TM ,4863,6.07,"26,443"
578,TMCLIFE ,101,0.58,"12,967"
579,TOCEAN ,7218,3.9,526
580,TOMYPAK ,7285,0.6,"5,704"
581,TOPBLDS ,5268,0.055,"2,495"
582,TOPGLOV ,7113,3.4,"376,196"
583,TOYOVEN ,7173,2.57,"2,361"
584,TRC ,5054,0.355,790
585,TRIMODE ,199,0.7,"23,549"
586,TROP ,5401,1,"4,049"
587,TSH ,9059,1.16,"48,439"
588,TSRCAP ,5042,0.28,"4,835"
589,UCHITEC ,7100,3.14,"5,559"
590,UCREST ,5,0.32,"195,919"
591,UEMS ,5148,0.385,"36,528"
592,ULICORP ,7133,1.32,"6,230"
593,UMS ,7137,2.54,"1,186"
594,UMSNGB ,7227,1.39,"6,172"
595,UMW ,4588,3.28,"9,288"
596,UNISEM ,5005,8.55,"2,366"
597,UOADEV ,5200,1.63,"5,395"
598,UTDPLT ,2089,13.6,984
599,UWC ,5292,5.6,"16,715"
600,UZMA ,7250,0.61,"23,430"
601,VC ,60,0.075,"49,693"
602,VELESTO ,5243,0.15,"31,476"
603,VERTICE ,7240,0.305,"11,413"
604,VINVEST ,69,0.455,"109,596"
605,VIS ,120,0.995,"9,155"
606,VITROX ,97,18.76,873
607,VIZIONE ,7070,0.14,"374,590"
608,VOLCANO ,232,0.51,"10,658"
609,VS ,6963,1.44,"64,461"
610,VSOLAR ,66,0.015,"48,000"
611,VSTECS ,5162,1.3,"4,197"
612,WAJA ,102,0.175,"228,896"
613,WASEONG ,5142,0.68,"3,628"
614,WCT ,9679,0.575,"46,370"
615,WEGMANS ,197,0.275,"6,270"
616,WELLCAL ,7231,1,"19,109"
617,WIDAD ,162,0.37,"69,924"
618,WONG ,7050,1.94,"93,894"
619,WPRTS ,5246,4.5,"22,251"
620,WTHORSE ,5009,0.735,"6,041"
621,WTK ,4243,0.465,"12,003"
622,WZSATU ,7245,0.15,"29,600"
623,XINHWA ,5267,0.37,"8,479"
624,XL ,7121,0.78,640
625,Y&G ,7003,1.43,"18,838"
626,YBS ,25,0.405,"76,877"
627,YGL ,86,0.24,"4,916"
628,YINSON ,7293,4.94,"9,147"
629,YKGI ,7020,0.215,"50,059"
630,YLI ,7014,0.42,"9,929"
631,YNHPROP ,3158,2.68,684
632,YOCB ,5159,1.03,538
633,YONGTAI ,7066,0.22,"55,024"
634,YSPSAH ,7178,2.08,"1,349"
635,ZECON ,7028,0.43,"2,180"
636,ZELAN ,2283,0.125,"77,203"
