Ticker,Description,Change,Change %,Last,1-Month High,3-Month High,52 Week High,All Time High,Rating,Volume,Market Capitalization,Sector
OMESTI,OMESTI BHD,-0.01,-2.27272727,0.43,0.47,0.515,0.64,1.54079,Strong Sell,268000,234290599,Technology Services
OMH,OM HOLDINGS LIMITED,0.39,11.5727003,3.76,3.77,3.77,4.69,4.69,Strong Buy,5928800,2357616851.756590,Miscellaneous
OPCOM,OPCOM HOLDINGS BHD,-0.03,-2.34375,1.25,1.44,1.44,1.44,2.04001,Buy,21914500,295151654,Producer Manufacturing
OPENSYS,OPENSYS (M) BHD,-0.01,-2.43902439,0.4,0.465,0.465,0.713333,0.879999,Strong Sell,1189800,183203433,Electronic Technology
OPTIMAX,OPTIMAX HOLDINGS BERHAD,-0.02,-1.48148148,1.33,1.51,1.51,1.87,1.87,Sell,740400,364500006,Health Services
ORIENT,ORIENTAL HOLDINGS BHD,-0.01,-0.19569472,5.1,5.2,5.2,5.58,10.64,Sell,29100,3170049277,Retail Trade
ORION,ORION IXL BERHAD,-0.005,-11.11111111,0.04,0.06,0.065,0.1,3.543974,Strong Sell,250100,38542842,Technology Services
ORNA,ORNAPAPER BHD,-0.03,-2.15827338,1.36,1.58,1.58,2.17,2.78,Strong Sell,300,103071492,Process Industries
OSK,OSK HOLDINGS BHD,-0.005,-0.57471264,0.865,0.91,0.91,1.03,1.84195,Sell,115800,1794030918,Finance
OSKVI,OSK VENTURES INTERNATIONAL BHD,0.01,2.27272727,0.45,0.5,0.5,0.55,279.977824,Buy,31000,86435830,Miscellaneous
